,댓글,작성자,작성시간
454,조폭땜에 도망간거잖아요,Dh Dh,1:15
455,어이 조용해,박민호,1:15
456,상수야 홍대 지나다니지말아라,동현 이,1:15
457,뒤지게 맞기 싫으면 윤석열 지지해라,로이더,1:16
458,방송꺼아,ㅇㅅ,1:16
459,무,ABC,1:16
460,화질이 테이저건맞았나,서석민,1:17
461,방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송 꺼라 방송 꺼라 방 송 꺼 라 ,츄파피,1:17
462,상수야 홍대 지나다니지말아라,동현 이,1:17
463,찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:,망나뇽,1:17
464,쩝쩝거리지 마라,지은,1:18
465,뒤지게 맞기 싫으면 윤석열 지지해라,로이더,1:18
466,상수 고추 없다,일공사일일주영준,1:18
467,방송 꺼라,고갱,1:18
468,상수야,정상수,1:18
469,어쩔tv,정상수 팬계정,1:18
470,야 정상수,라러러,1:19
471,상수야 설치지마라 상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라,이동규,1:19
472,ㅋㅋㅋㅋㅋㅋ,민이,1:19
473,오빠 달려,ㅋㅋ,1:19
474,속보) 노무현 사망,김말이,1:19
475,성공?,BLACK,1:20
476,뒤지게 맞기 싫으면 윤석열 지지해라,로이더,1:20
477,상수야 상수역에 지나가면 진짜 반접어버린다 씹새야.,제육잘볶는김찬호,1:20
478,상수야 ㅋ,공갈치,1:20
479,테이저건썰은 못참지ㅋㅋ,Kenneth Lee,1:20
480,뜬금없이 테이져건썰:face_with_tears_of_joy:,녹색지대,1:20
481,현,ABC,1:20
482,일산이요?,소윤,1:20
483,상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라,22duf,1:21
484,채팅좀,김태헌,1:21
485,찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:,망나뇽,1:21
486,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,김와사비,1:22
487,ㅇㅉ,고라니,1:22
488,반말하지마라 개쉐이야,이끼,1:22
489,방송꺼라,ㅇㅅ,1:22
490,상수야 반갑다,네이스형 탑솔러,1:22
491,야 정상수,라러러,1:22
492,방송 꺼라,고갱,1:22
493,맞다이 까자 씨벨럼아,오승원,1:24
494,맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야,도경님의 손톱때,1:24
495,안궁금해 씨발아,정상수이마털3가닥,1:24
496,노,ABC,1:24
497,상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라,22duf,1:24
498,상수행님 인사드립니다,SM Entertainment,1:24
499,방송끄라고,성규형님오른팔,1:24
500,많이 막연,나에요 나,1:24
501,찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:,망나뇽,1:25
502,뒤지게 맞기 싫으면 윤석열 지지해라,로이더,1:25
503,ㄱㄱ,박준우,1:25
504,또 같은말 반복하고 지랄,김준후,1:25
505,상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라,이동규,1:25
506,어허,브베 생방송 (LIVE),1:25
507,아닥해,정상수한테 테이저건 쏜 경찰,1:25
508,안녕하세요 ,불건전한소환자명,1:25
509,테이저건썰은 못참지ㅋㅋ,Kenneth Lee,1:25
510,제목부터 레전드,jsx oh,1:26
511,탈모야,월월,1:27
512,뒤지게 맞기 싫으면 윤석열 지지해라,로이더,1:27
513,상수야 방송 꺼라,익,1:27
514,홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번홍준표2번,옵치 고수,1:27
515,방송 꺼라,고갱,1:27
516,안녕하세요,망고 YouTube,1:27
517,무,ABC,1:28
518,술먹고 어떤분이 야린다고 때리려다가술먹고 어떤분이 야린다고 때리려다가술먹고 어떤분이 야린다고 때리려다가술먹고 어떤분이 야린다고 때리려다가술먹고 어떤분이 야린다고 때리려다가술먹고 어떤분이 야린다고 때리려다가술먹고 어떤분이 야린다고 때리려다가술먹고 어떤분이 야린다고 때리려다가술먹고 어떤분이 야린다고 때리려다가술먹고 어떤분이 야린다고 때리려다가술먹고 어떤분이 야,개빡친상수형,1:28
519,상슈야,성규형님오른팔,1:28
520,마 개소리까노,식기,1:28
521,싸우자 개새이야,정상수이마털3가닥,1:28
522,홍대에서 형님이 술마시고 옆사람이랑 시비붙어서 존나 싸우다 경찰 몇대왔는데 정신 못차려서 맞았잖아요 ㅋㅋㅋㅋㅋㅋ,앞날창창 SMJ(민제),1:28
523,굿즈 멋있어,wtf,1:28
524,상수야 홍대 지나다니지말아라,동현 이,1:29
525,어쩔티비,세히,1:29
526,상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라,22duf,1:29
527,뒤지게 맞기 싫으면 윤석열 지지해라,로이더,1:29
528,상수야 내다 민정이 잘지내니 보기좋노,minj,1:29
529,아닥해,정상수한테 테이저건 쏜 경찰,1:30
530,상수형 충분히 테이저건 맞을 자격있다,최공주,1:30
531,찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:,망나뇽,1:31
532,40대 래퍼가 어대있노 임마 ㅋㅋㅋ,정인서,1:31
533,뒤지게 맞기 싫으면 윤석열 지지해라,로이더,1:31
534,상수 돈마려워서 라방킨거?,부산픽도,1:31
535,상수야 홍대 지나다니지말아라,동현 이,1:31
536,방송 꺼라,고갱,1:32
537,상수야,성규형님오른팔,1:32
538,뒤지게 맞기 싫으면 윤석열 지지해라,로이더,1:32
539,?,BLACK,1:32
540,상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라,22duf,1:33
541,상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라상수야 설치지마라,이동규,1:33
542,많이 늦은나이네,[쉴드]대환장,1:33
543,잘 났어 상수야,승 희,1:33
544,이방제를 안들어올수있는가,고캡틴,1:33
545,같은말을 몇번을 하노 ㅋㅋㅋㅋㅋㅋㅋㅋ,sss,1:33
546,전주 온고을 중학교 화이팅.해주세요 제발 형님.이렇게 빌게요 ㅠㅠ전주 온고을 중학교 화이팅.해주세요 제발 형님.이렇게 빌게요 ㅠㅠ전주 온고을 중학교 화이팅.해주세요 제발 형님.이렇게 빌게요 ㅠㅠ전주 온고을 중학교 화이팅.해주세요 제발 형님.이렇게 빌게요 ㅠㅠ전주 온고을 중학교 화이팅.해주세요 제발 형님.이렇게 빌게요 ㅠㅠ전주 온고을 중학교 화이팅.해주세요,이희재,1:33
547,부산 버렸네,shyboo,1:33
548,정상수,네이스형 탑솔러,1:33
549,방송꺼라,고정완,1:34
550,상수형 잘생겼어요!,후다닥이,1:34
551,뒤지게 맞기 싫으면 윤석열 지지해라,로이더,1:34
552,:face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss:,오리,1:34
553,오빠!!,냥,1:34
554,니가 잘못한 매국노니까 맞은거지 ㅂㅅ아니가 잘못한 매국노니까 맞은거지,파스콧시,1:34
555,상수행님 제발 채팅좀 보세요,SM Entertainment,1:35
556,대선 후보 누구 지지해요?,One Day More,1:35
557,아 씨발 상수야 너는 수원 이마트 지나가지마라 씨발려낭,바카바카사탕,1:35
558,상수야,성규형님오른팔,1:35
559,흰색 수염 자라네,녕음뭉,1:36
560,상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라,22duf,1:36
561,?,BLACK,1:36
562,야 정상수 나랑 진심 맞짱한번 뜨자,Sorry IMO,1:36
563,아가리 줏닥치고,오승원,1:36
564,상수야 뉴트리아 같다,뷁,1:36
565,찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:,망나뇽,1:36
566,방송 꺼라,고갱,1:36
567,현피뜨자,정상수이마털3가닥,1:36
568,아닥해,정상수한테 테이저건 쏜 경찰,1:37
569,방송꺼라 상수야,월월,1:37
570,아잉,[쉴드]대환장,1:37
571,뒤지게 맞기 싫으면 윤석열 지지해라,로이더,1:37
572,아니 댓글 좀 읽어줭 상수옵화,북극곰.,1:38
573,어쩌라고,박신영,1:38
574,야 정상수 나랑 진심 맞짱한번 뜨자,Sorry IMO,1:38
575,상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라,22duf,1:38
576,대굴빡이 동그라이 지기네,dodo young,1:38
577,응기잇,한이,1:39
578,상수야 홍대 지나다니지말아라,동현 이,1:39
579,그래 이런거 좋다고 상수야,김와사비,1:39
580,상수님 정말 착하시네요 ㅋㅋ,이뚱,1:39
581,상수형 짱,후다닥이,1:39
582,대단하다 정상수~!!!,소드맨,1:39
583,찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:,망나뇽,1:39
584,싸우자,오승원,1:40
585,방송끄라고,성규형님오른팔,1:40
586,?,BLACK,1:40
587,방송 꺼라,고갱,1:40
588,상수야 나 14살이니까 말 편하게할게~***,주찬우,1:41
589,ㅇㅉㅌㅂ,세히,1:41
590,상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라,22duf,1:41
591,상수야,남자,1:41
592,나이값좀 하고 취직해라,정인서,1:42
593,상수야 홍대 지나다니지말아라,동현 이,1:42
594,노뮤현,ABC,1:42
595,아닥해,정상수한테 테이저건 쏜 경찰,1:42
596,니가 잘못한 매국노니까 맞은거지 ㅂㅅ아,파스콧시,1:42
597,현피뜨자,정상수이마털3가닥,1:42
598,ㅋㅋㅋㅋ,왕Zr,1:42
599,맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야,도경님의 손톱때,1:42
600,ㅋㅋ,흑우,1:42
601,오우 예기계에,ㅋㅋㄹㅃㅃ 나 잼민이,1:43
602,상수형,조성현,1:43
603,쫌 아갈해라,썬더샌즈TB,1:43
604,형님 면상 때문에 맞은거 아닐까요?,동현,1:43
605,정상수,1무음모드,1:43
606,그냥 그때 있었던 일만 말해,김준후,1:43
607,상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라,22duf,1:44
608,상수형 멋져요,후다닥이,1:44
609,찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:,망나뇽,1:44
610,상수 오빠다,카와이,1:44
611,씨발련아,오승원,1:45
612,아우 재미없어,출력,1:45
613,으ㅡㅡㅡㅡㅡ3ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ3ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㄹㄱㆍㄷㄱㄷㆍㄱㄷㅂㄷ구굽ㄷㅂㄷㄱㄷ구구ㅡㄱㄷㄴㅂㄷㄴㅂㄷ누고굽ㄷㄴㅂㄴ근ㅋㆍㄱㄴㅂㄴ긕ㆍㄷㄱㄴㅅㅂㄷㅅㅂㄷㅂㄷㄴ근거ㆍㅂㄷㅂㄷㅂㄴㅂㅅㄷㅂㄷ구고곡ㄴㄱㄷㄴㅂㄴㄷㅂㄷㅅㅂㄷㅂㄷㅂㄷㄴㄷ푸부고ㅗ구국ㄷㅂㄷㅂㄷㅅㅂㄴㄷ구구굽ㄴㄷㅂㄷㄴㅂㄴㄷㅂㄷㄴㄷㅍㄷㅂㄷㄹㄷㅂㄷㄴㅍㄷㅂㄷㅂㄷㅂㄷㅂㄷ,비비누누,1:45
614,야 정상수 나랑 진심 맞짱한번 뜨자,Sorry IMO,1:45
615,테이저건다음은 권총임ㅅㄱ,고라니,1:45
616,락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락 나락락 나락 나락 나락 나락 나락,옵치 고수,1:45
617,속보) 노무현 사망,김말이,1:46
618,방송끄라고 상수야,성규형님오른팔,1:46
619,상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라,22duf,1:46
620,방송접어,주찬우,1:47
621,상수님 이재명 화이팅 한번만 해주세요,이우빈,1:47
622,같은말 반복하지 말라고 했다,지은,1:47
623,제목뭐임?,최민성,1:48
624,네,[쉴드]대환장,1:48
625,정상수 잘하고있다마,박카스,1:48
626,방송꺼라 상수야,월월,1:48
627,방송 꺼라,고갱,1:48
628,상수야 일산은 서울이 아니다,이성현,1:48
629,술먹고 어떤분이 야린다고 때리려다가,개빡친상수형,1:48
630,맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야,도경님의 손톱때,1:49
631,상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라,22duf,1:49
632,방송 끄라고 상수야,장민준,1:49
633,현피뜨자,정상수이마털3가닥,1:49
634,형님 면상 때문에 맞은거 아닐까요?,동현,1:49
635,부산에선 싸움 쫄리니까 서울 간거잖아요,Dh Dh,1:50
636,야 정상수 나랑 진심 맞짱한번 뜨자,Sorry IMO,1:50
637,술먹고 어떤분이 야린다고 때리려다가,개빡친상수형,1:50
638,찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:찌릿찌릿:sparkles:짜라짜라:sparkles:,망나뇽,1:50
639,섹,ᄋᄋ,1:50
640,상수야,남자,1:51
641,술먹고 어떤분이 야린다고 때리려다가,개빡친상수형,1:51
642,마 맞장뜨자,허수아비,1:51
643,상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라상수야 심상정 지지하지마라 상수야 심상정 지지하지마라 상수야 심상정 지지하지마라,22duf,1:52
